011000015,"FEDERAL RESERVE BANK;1000 PEACHTREE ST N.E.;ATLANTA, GA 30309-4470"
321380085,"WAILUKU FEDERAL CREDIT UNION;175 N MARKET STREET;WAILUKU, HI 96793-2236"
321380098,"KULIA OHANA FEDERAL CREDIT UNION;240 LEPOKO PLACE;WAILUKU, HI 96793-0000"
321380315,"WINDWARD COMMUNITY FCU;6699 MOKAPU ROAD;KAILUA, HI 96734-0000"
321380328,"PEARL HARBOR FCU;94-449 UKEE STREET;WAIPAHU, HI 96797-0000"
321380344,"TRIPLER FEDERAL CREDIT UNION;1 JARRET WHITE ROAD, ROOM 016;TRIPLER AMC, HI 96820-0000"
321380632,"WESTERN BRIDGE COPORATE FCU;2200 KAMEHAMEHA HWY;HONOLULU, HI 96819-2308"
321381233,"FINANCE FACTORS, LTD.;1164 BISHOP STREET;HONOLULU, HI 96813-2810"
321381644,"PLUMBERS & FITTERS LOCAL 675 FCU;1109 BETHEL STREET LOWER LEVEL;HONOLULU, HI 96813-0000"
321470364,"BANKPACIFIC LTD;151 ASPINALL AVENUE;HAGATNA, GU 96910-0000"
321480406,"COMMUNITY FIRST GUAM FCU;238 AFC FLORES STREET SUITE 102;HAGATNA, GU 96910-0000"
321481612,"COAST360 FCU;121 ROBAT STREET;MAITE, GU 96910-0000"
322070006,"J.P. MORGAN CHASE BANK, N.A.;10430 HIGHLAND MANOR DRIVE;TAMPA, FL 33610-0000"
322070019,"CITIBANK WEST;111 SILVAN AVENUE;ENGLEWOOD CLIFFS, NJ 07632-0000"
322070145,"BROADWAY FEDERAL BANK, FSB;170 NORTH MARKET STREET;INGLEWOOD, CA 90301-0000"
322070213,"J.P. MORGAN CHASE BANK, N.A.;FLR 3;SAN ANTONIO, TX 78258-0000"
322070239,"ONEUNITED BANK;3683 CRENSHAW BOULEVARD;LOS ANGELES, CA 90016-0000"
322070381,"EAST WEST BANK;SUITE 100;PASADENA, CA 91101-0000"
322070598,"ONE UNITED BANK;3683 CRENSHAW BLVD.;LOS ANGELES, CA 90016-4890"
322070789,"AEROSPACE FCU;2310 E EL SEGUNDO BLVD;EL SEGUNDO, CA 90245-0000"
322071872,"HANMI BANK (FIRST GLOBAL BANK);3660 WILSHIRE BLVD SUITE PH-A;LOS ANGELES, CA 90010-0000"
322071982,"EASTWEST BANK;407 W VALLEY BLVD;ALHAMBRA, CA 91803-0000"
322074277,"CERTIFIED FCU, A DIV OF VONS EFCU;5601 EAST WASHINGTON BLVD;COMMERCE, CA 90040-0000"
322076136,"DELUXE LABORATORIES FCU;5433 FERNWOOD AVENUE;LOS ANGELES, CA 90027-0000"
322076152,"FEDERAL EMPLOYEES WEST CREDIT UNION;611 WEST SIXTH STREET SUITE 875;LOS ANGELES, CA 90017-0000"
322076181,"MUSICIANS INTERGUILD CREDIT UNION;PO BOX 38610;HOLLYWOOD, CA 90038-3715"
322076233,"AFTRA-SAG FCU;134 NORTH KENWOOD STREET;BURBANK, CA 91505-0000"
322077119,"ANGELUS CAN EFCU;2636 LEONIS BOULEVARD;LOS ANGELES, CA 90058-0367"
322077135,"PACIFIC RESOURCE CREDIT UNION;333 SO HOPE ST CONCOURSE LEVEL;LOS ANGELES, CA 90071-1409"
322077151,"AM FEDERAL CREDIT UNION;101 WEST WALNUT STREET;GARDENA, CA 90248-0000"
322077261,"WESTERN FCU (FORMERLY BULLOCKS CU);1899 WESTERN WAY;TORRANCE, CA 90501-0000"
322077274,"CAL STATE LA FEDERAL CREDIT UNION;2445 MARIONDALE AVENUE;LOS ANGELES, CA 90032-0000"
322077287,"FIRST FINANCIAL CREDIT UNION;1600 W CAMERON AVE;WEST COVINA, CA 91790-0000"
322077313,"CALIFORNIA BEAR CREDIT UNION;350 SOUTH FIGUEROA STREET # 180;LOS ANGELES, CA 90071-0000"
322077449,"CBS EMPLOYEES FCU;12001 VENTURA PLACE # 204;STUDIO CITY, CA 91604-2165"
322077494,"CALIFORNIA AGRIBUSINESS CU;STE #87;BUENA PARK, CA 90621-0000"
322077559,"ALLIANT CREDIT UNION;11545 W TOUHY AVE;CHICAGO, IL 60666-0000"
322077562,"L A FINANCIAL FEDERAL CREDIT UNION;1520 W COLORADO BLVD;PASADENA, CA 91105-0000"
322077766,"PACIFIC TRANSPORTATION FCU;501 WEST 190TH STREET;GARDENA, CA 90248-0000"
322077779,"SKYONE FEDERAL CREDIT UNION;14600 AVIATION BLVD;HAWTHORNE, CA 90250-0000"
322077795,"FARMERS INSURANCE GROUP FCU;PO BOX 36911;LOS ANGELES, CA 90036-0911"
322077818,"FISCAL CREDIT UNION;310 E. COLORADO STREET;GLENDALE, CA 91205-0000"
322077834,"CREDIT UNION OF SOUTHERN CALIFORNIA;PO BOX 200;WHITTIER, CA 90608-0000"
322077850,"XCEED FINANCIAL CREDIT UNION;888 N NASH ST;EL SEGUNDO, CA 90245-0000"
322077902,"NUVISION FEDERAL CREDIT UNION;7812 EDINGER AVENUE;HUNTINGTON BEACH, CA 92647-0000"
322078011,"LA HEALTHCARE FEDERAL CREDIT UNION;PHR BUILDING, SUITE 200;LOS ANGELES, CA 90015-0000"
322078079,"KINECTA FEDERAL CREDIT UNION;1440 ROSECRANS AVE;MANHATTAN BEACH, CA 90266-0000"
322078257,"SCHOOLS FEDERAL CREDIT UNION;2200 W ARTESIA BLVD;RANCHO DOMINGUEZ, CA 90220-0000"
322078325,"SOUTHLAND CREDIT UNION;PO BOX 7022;DOWNEY, CA 90241-7022"
322078341,"LOS ANGELES FIREMENS CU;PO BOX 60890;LOS ANGELES, CA 90060-0000"
322078354,"LOCKHEED FCU (FMRLY ENGINEERS FCU);2340 HOLLYWOOD WAY;BURBANK, CA 91510-0000"
322078370,"LOS ANGELES FEDERAL CU;300 S GLENDALE AVE;GLENDALE, CA 91205-0000"
322078383,"F & A FEDERAL CREDIT UNION;2625 CORPORATE PL;MONTEREY PARK, CA 91754-0000"
322078396,"L A ELECTRICAL WORKERS CREDIT UNION;1021 E WALNUT STE 200;PASADENA, CA 91106-7030"
322078419,"FIRST CITY CREDIT UNION;717 W TEMPLE STREET;LOS ANGELES, CA 90012-0000"
322078422,"WATER & POWER COMMUNITY CREDIT UNION;1053 W SUNSET BLVD;LOS ANGELES, CA 90012-0000"
322078448,"CITYSIDE FEDERAL CREDIT UNION;10701 LOS ALAMITOS BLVD;LOS ALAMITOS, CA 90720-0000"
322078464,"THE CALIFORNIA CREDIT UNION;701 NORTH BRAND BOULEVARD;GLENDALE, CA 91203-0000"
322078477,"JACOM CREDIT UNION;3037 W JEFFERSON BL;LOS ANGELES, CA 90018-0000"
322078493,"LOS ANGELES POLICE F.C.U.;16150 SHERMAN WAY;VAN NUYS, CA 91406-0000"
322078558,"CALCOM FEDERAL CREDIT UNION;20723 HAWTHORNE BLVD;TORRANCE, CA 90503-3936"
322078590,"PRINTING INDUSTRIES CREDIT UNION;5800 S EASTERN AVE #250;LOS ANGELES, CA 90040-4021"
322078668,"MWD FEDERAL CREDIT UNION;700 N ALAMEDA ST;LOS ANGELES, CA 90012-2944"
322078804,"FINANCIAL PARTNERS CREDIT UNION;1700 ADAMS AVENUE SUITE 110;COSTA MESA, CA 92626-4865"
322078833,"UPS EMPLOYEES FEDERAL CREDIT UNION;3110-A INLAND EMPIRE BLVD;ONTARIO, CA 91764-0000"
322078927,"POLAM FCU;589 N LARCHMONT BLVD;LOS ANGELES, CA 90004-0000"
322078930,"PRIORITY ONE CREDIT UNION;1631 HUNTINGTON DRIVE;S PASADENA, CA 91030-0000"
322078972,"FIRST CITY CREDIT UNION;717 WEST TEMPLE STREET;LOS ANGELES, CA 90012-0000"
322078998,"CLEARPATH FEDERAL CREDIT UNION;340 ARDEN AVENUE;GLENDALE, CA 91203-1102"
322079094,"E-CENTRAL CREDIT UNION;990 S FAIROAKS AVE;PASADENA, CA 91105-2626"
322079133,"SOUTH WESTERN FEDERAL CREDIT UNION;901 E WHITTIER BLVD;LA HABRA, CA 90631-0000"
322079227,"E-CENTRAL CREDIT UNION;990 S FAIROAKS AVE;PASADENA, CA 91105-2626"
322079324,"TECHNICOLOR FEDERAL CREDIT UNION;434 W ALAMEDA AVENUE;BURBANK, CA 91506-0000"
322079353,"WESCOM CREDIT UNION;5601 EAST LA PALMA AVENUE;ANAHEIM, CA 92807-0000"
322079450,"WESCOM CREDIT UNION;5601 EAST LA PALMA AVENUE;ANAHEIM, CA 92807-0000"
322079463,"UNION PACIFIC CAEFCU;13601 WHITTIER BLVD SUITE 503;WHITTIER, CA 90605-1986"
322079489,"CALIFORNIA BEAR CREDIT UNION;300 SOUTH FIGUEROA STREET # 180;LOS ANGELES, CA 90071-0000"
322079502,"UNIVERSITY CREDIT UNION;1500 S SEPULVEDA BLVD;LOS ANGELES, CA 90025-0000"
322079531,"US ENGINEERS LA FCU;915 WILSHIRE BLVD SUITE 920;LOS ANGELES, CA 90017-0000"
322079557,"USC CREDIT UNION;1025 W. 34TH STREET (2ND FLOOR);LOS ANGELES, CA 90089-2280"
322079719,"WESTERN FEDERAL CREDIT UNION;14500 AVIATION BOULEVARD;HAWTHORNE, CA 90250-0000"
322079751,"MUSICIANS CREDIT UNION;PO BOX 38610;HOLLYWOOD, CA 90038-3715"
322084597,"PASADENA SERVICE FCU;PO BOX 911227;COMMERCE, CA 90091-1227"
322084827,"AUTO CLUB FCU;18327 GRIDLEY ROAD SUITE F;CERRITOS, CA 90703-0000"
322085318,"POPA FEDERAL CREDIT UNION;13304 ALONDRA BLVD;CERRITOS, CA 90703-0000"
322086142,"EAST WEST BANK;9300 FLAIR DRIVE, 4TH FLOOR;EL MONTE, CA 91731-0000"
322170016,"BANK OF AMERICA, N.A. - ARIZONA;VA2-430-01-01;RICHMOND, VA 23261-7025"
322170692,"BANK OF AMERICA, N.A. - ARIZONA;VA2-430-01-01;RICHMOND, VA 23261-7025"
322172069,"SAN TAN CREDIT UNION;698 NORTH IOWA ST;CHANDLER, AZ 85224-3761"
322172108,"COCONINO FEDERAL CREDIT UNION;2800 WOODLANDS VILLAGE BLVD;FLAGSTAFF, AZ 86001-0000"
322172111,"PINAL COUNTY FED C U;1000 EAST FLORENCE BLVD;CASA GRANDE, AZ 85222-0000"
322172153,"CREDIT UNION WEST;5811 WEST TALAVI;GLENDALE, AZ 85306-0000"
322172205,"RAY FEDERAL CREDIT UNION;PO BOX 1089;KEARNY, AZ 85137-1089"
322172221,"MOHAVE COMMUNITY FCU;2809 STOCKTON HILL ROAD;KINGMAN, AZ 86401-5919"
322172328,"ARIZONA FEDERAL CU(WESTERN HORIZONS);333 N 44TH STREET;PHOENIX, AZ 85008-0000"
322172425,"ALHAMBRA CREDIT UNION;7339 N 35TH AVENUE;PHOENIX, AZ 85051-7421"
322172438,"U-HAUL FEDERAL CREDIT UNION;PO BOX 21506;PHOENIX, AZ 85036-0000"
322172441,"ARIZONA CENTRAL CREDIT UNION;2020 NORTH CENTRAL SUITE 800;PHOENIX, AZ 85004-0000"
322172470,"CREDIT UNION WEST;5811 W TALAVI BLVD;GLENDALE, AZ 85306-0000"
322172496,"ARIZONA STATE CREDIT UNION;2355 WEST PINNACLE PEAK ROAD;PHOENIX, AZ 85027-0000"
322172506,"SUNWEST FED CU;11839 N 28TH DR;PHOENIX, AZ 85029-0000"
322172739,"MARISOL FEDERAL CREDIT UNION;PO BOX 20525;PHOENIX, AZ 85036-0000"
322172742,"FIRST CREDIT UNION;25 SOUTH ARIZONA PLACE SUITE111;CHANDLER, AZ 85225-0000"
322172755,"MARICOPA SANTA FE FCU;STE 105;PHOENIX, AZ 85021-0000"
322172797,"ARIZONA FEDERAL CREDIT UNION;333 NORTH 44TH STREET;PHOENIX, AZ 85008-0000"
322172807,"DEER VALLEY CREDIT UNION;15458 NORTH 28TH AVENUE;PHOENIX, AZ 85053-0000"
322172823,"VANTAGE WEST CREDIT UNION;10440 N 32ND ST;PHOENIX, AZ 85028-3825"
322172849,"CANYON STATE CREDIT UNION;3440 WEST DEER VALLEY ROAD;PHOENIX, AZ 85027-5656"
322172852,"ALTIER CREDIT UNION;1511 NORTH PROJECT DRIVE;TEMPE, AZ 85281-0000"
322172881,"BANNER FEDERAL CREDIT UNION;SUITE # 105;PHOENIX, AZ 85004-0000"
322172904,"AERO FEDERAL CREDIT UNION;18301 NORTH 79TH AVENUE BLDG A100;GLENDALE, AZ 85308-8459"
322172917,"SOUTHWEST HEALTH CARE C U;1640 W THOMAS RD;PHOENIX, AZ 85015-0000"
322173039,"BASHAS ASSOCIATES FCU;735 EAST GUADALUPE ROAD;TEMPE, AZ 85283-2911"
322173055,"TRUWEST CREDIT UNION;1667 NORTH PRIEST DRIVE;TEMPE, AZ 85281-0000"
322173068,"DESERT MEDICAL FEDERAL CREDIT UNION;3604 WELLS FARGO AVE SUITE A;SCOTTSDALE, AZ 85251-0000"
322173084,"SNOWFLAKE MILLS FCU;216 S MAIN STREET;SNOWFLAKE, AZ 85937-0000"
322173149,"TEMPE SCHOOLS CREDIT UNION;2800 S MILL AVE;TEMPE, AZ 85282-0000"
322173165,"PRESCOTT FCU;PO BOX 9051;PRESCOTT, AZ 86131-9051"
322173181,"FIRST AMERICAN CREDIT UNION;1001 NORTH PINAL AVENUE;CASA GRANDE, AZ 85122-0000"
322173194,"WINSLOW SANTA FE C U;1021 WILLIAMSON AV;WINSLOW, AZ 86047-0000"
322173204,"WINSLOW SCHOOL EFCU;1520 WEST 3RD ST;WINSLOW, AZ 86047-0000"
322173217,"AEA #2 FCU;1780 SOUTH FIRST AVENUE;YUMA, AZ 85364-0000"
322174575,"SOUTHEASTERN ARIZONA FEDCU;1600 N PAN AMERICAN;DOUGLAS, AZ 85607-1059"
322174588,"AMERICAN SOUTHWEST CREDIT UNION;3090 EAST FRY BLVD;SIERRA VISTA, AZ 85635-0000"
322174643,"TOMBSTONE FEDERAL CREDIT UNION;218 SOUTH SUMMER STREET;TOMBSTONE, AZ 85638-0305"
322174708,"VANTAGE WEST CREDIT UNION;2480 N ARCADIA;TUCSON, AZ 85712-0000"
322174795,"PIMA FEDERAL CREDIT UNION;3730 N STONE AVE;TUCSON, AZ 85705-3202"
322174821,"PYRAMID CREDIT UNION;7740 E SPEEDWAY BLVD;TUCSON, AZ 85710-0000"
322174850,"SHAMROCK FOODS FCU;2926 W ENCANTO BLVD;PHOENIX, AZ 85009-1614"
322174928,"PIMA FEDERAL CREDIT UNION;PO BOX 26768;TUCSON, AZ 85726-6768"
322174944,"HUGHES FEDERAL CREDIT UNION;PO BOX 11900;TUCSON, AZ 85734-1900"
322174957,"TUCSON OLD PUEBLO CREDIT UNION;2500 E 22ND STREET;TUCSON, AZ 85713-0000"
322174973,"SO AZ COMMUNICATIONS CU;PO BOX 26887;TUCSON, AZ 85726-0000"
322174986,"TUCSON FEDERAL CREDIT UNION;1160 N WINSTEL BLVD;TUCSON, AZ 85716-0000"
322174999,"TUCSON TELCO FCU;PO BOX 40160;TUCSON, AZ 85717-0000"
322175011,"COCHISE CREDIT UNION;PO BOX 1154;WILLCOX, AZ 85643-0000"
322184497,"CREDIT UNION WEST;5811 WEST TALAVI BLVD;GLENDALE, AZ 85306-0000"
322184578,"FIRSTCORP;2 NORTH CENTRAL AVENUE SUITE 1000;PHOENIX, AZ 85004-2377"
322185328,"TUCSON HEALTH CARE AFF FCU;5280 E GRANT ROAD;TUCSON, AZ 85712-0000"
322186288,"MARSHALL & ILSLEY BANK (FIFTH THIRD);4701 W SCHROEDER DR;BROWN DEER, WI 53223-0000"
322186961,"WELLS FARGO BANK;255 2ND AVE SOUTH MAC N9301-041;MINNEAPOLIS, MN 55479-0000"
322270013,"J.P. MORGAN CHASE BANK, N.A.;10430 HIGHLAND MANOR DRIVE;TAMPA, FL 33610-0000"
322270039,"J.P. MORGAN CHASE BANK, N.A.;10430 HIGHLAND MANOR DRIVE;TAMPA, FL 33610-0000"
322270055,"CITIBANK WEST;111 SILVAN AVENUE;ENGLEWOOD CLIFFS, NJ 07632-0000"
322270084,"J.P. MORGAN CHASE BANK, N.A.;10430 HIGHLAND MANOR DRIVE;TAMPA, FL 33610-0000"
322270262,"CITIBANK WEST;111 SILVAN AVENUE;ENGLEWOOD CLIFFS, NJ 07632-0000"
322270275,"UNIVERSAL BANK;3455 NOGALES ST 2ND FLOOR;W COVINA, CA 91792-0000"
322270288,"ONEWEST BANK, FSB;2450 BROADWAY, SUITE 500;SANTA MONICA, CA 90404-0000"
322270327,"BANK OF AMERICA, N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
322270356,"US BANK;60 LIVINGSTON AVENUE EP-MN-WN1A;ST PAUL, MN 55107-1419"
322270369,"US BANK;EP-MN-WN1A;ST PAUL, MN 55107-1419"
322270408,"COMPASS BANK;PO BOX 10566;BIRMINGHAM, AL 35296-0000"
322270453,"BANCO POPULAR NORTH AMERICA;9600 W. BRYN MAWR;ROSEMONT, IL 60018-0000"
322270495,"US BANK;60 LIVINGSTON AVENUE EP-MN-WN1A;ST PAUL, MN 55107-1419"
322270518,"PROVIDENT SAVINGS BANK;6666 BROCKTON AVE;RIVERSIDE, CA 92506-0000"
322270521,"J.P. MORGAN CHASE BANK, N.A.;10430 HIGHLAND MANOR DRIVE;TAMPA, FL 33610-0000"
322270725,"BANK OF AMERICA, N.A.;PO BOX 27025;RICHMOND, VA 23261-7025"
322270770,"EDWARDS FED CREDIT UNION;10 SOUTH MUROC DRIVE;EDWARDS AFB, CA 93524-0000"
322270796,"ALASKA USA FEDERAL CREDIT UNION;PO BOX 196613;ANCHORAGE, AK 99519-6613"
322270822,"COASTHILLS FEDERAL CREDIT UNION;PO BOX 200;LOMPOC, CA 93438-0200"
322270987,"J.P. MORGAN CHASE BANK, N.A.;10430 HIGHLAND MANOR DRIVE;TAMPA, FL 33610-0000"
322271038,"VISTERRA CREDIT UNION;23520 CACTUS AVENUE;MORENO VALLEY, CA 92552-0000"
322271041,"NAVY FCU;820 FOLLIN LANE;VIENNA, VA 22180-4907"
322271083,"OPUS BANK;131 WEST COMMONWEALTH AVENUE;FULLERTON, CA 92832-0000"
322271096,"CITIBANK WEST;111 SILVAN AVENUE;ENGLEWOOD CLIFFS, NJ 07632-0000"
322271106,"ONEWEST BANK, FSB;2450 BROADWAY, SUITE 500;SANTA MONICA, CA 90404-0000"
322271180,"WELLS FARGO BANK;255 2ND AVENUE SOUTH MAC N9301-041;MINNEAPOLIS, MN 55479-0000"
322271326,"UNION BANK OF CALIFORNIA;PO BOX 85929;SAN DIEGO, CA 92186-0000"
322271627,"J.P. MORGAN CHASE BANK, N.A.;10430 HIGHLAND MANOR DRIVE;TAMPA, FL 33610-0000"
322271724,"CITIBANK FSB;ONE PENN'S WAY;NEW CASTLE, DE 19720-0000"
322271766,"EASTWEST BANK;638 S ATLANTIC BLVD;MONTEREY PARK, CA 91754-0000"
322271779,"CITIBANK WEST;111 SILVAN AVENUE;ENGLEWOOD CLIFFS, NJ 07632-0000"
322271818,"J.P. MORGAN CHASE BANK, N.A.;10430 HIGHLAND MANOR DRIVE;TAMPA, FL 33610-0000"
322271850,"BBVA COMPASS BANK;ALBISC/ACH;BIRMINGHAM, AL 35296-0000"
322271889,"THE BANK OF HEMET;PO BOX 12002;HEMET, CA 92546-8002"
322271999,"PACIFIC CAPITAL BANK NA;409 SOUTH FAIRVIEW AVENUE SUITE 110;GOLETA, CA 93117-0000"
322273272,"SAN GABRIEL VALLEY POSTAL CU;328 E SAN BERNARDINO ROAD;COVINA, CA 91723-0000"
322273379,"ECCU;955 WEST IMPERIAL HIGHWAY;BREA, CA 92822-0000"
322273405,"INTERSTATE FEDERAL CREDIT UNION;1475 S STATE COLLEGE BLVD #100;ANAHEIM, CA 92806-5701"
322273476,"ARCADIA CITY FEDERAL CREDIT UNION;45 E HUNTINGTON DRIVE;ARCADIA, CA 91006-3210"
322273489,"FOOTHILL FEDERAL CREDIT UNION;30 S FIRST AVENUE;ARCADIA, CA 91006-0000"
322273515,"THE GOLDEN ONE CREDIT UNION;PO BOX 15966;SACRAMENTO, CA 95852-1966"
322273599,"BAKERSFIELD COMMUNITY FCU;2101-16TH ST;BAKERSFIELD, CA 93301-0000"
322273609,"SAFE 1 CREDIT UNION;1400 MILL ROCK WAY;BAKERSFIELD, CA 93311-0000"
322273625,"BAKERSFIELD CITY EMP FCU;2817 16TH ST;BAKERSFIELD, CA 93301-0000"
322273667,"ESPEECO FCU;1015 SUMNER ST;BAKERSFIELD, CA 93305-0000"
322273696,"SELF-HELP FCU;2100 H STREET;BAKERSFIELD, CA 93301-0000"
322273706,"KERN FEDERAL CREDIT UNION;PO BOX 1667;BAKERSFIELD, CA 93302-1667"
322273722,"KERN SCHOOLS FEDERAL CU;PO BOX 9506;BAKERSFIELD, CA 93389-0000"
322273829,"BARSTOW RAILWAY EMPLOYEES CU;222 EAST MAIN STREET SUITE 210;BARSTOW, CA 92311-0000"
322273890,"BEVERLY HILLS CITY EFCU;9298 W THIRD ST;BEVERLY HILLS, CA 90210-0000"
322273900,"20TH CENTURY FOX FCU;1901 AVENUE OF THE STARS SUITE 120;LOS ANGELES, CA 90067-0000"
322273913,"HIGH SIERRA CREDIT UNION;136 W LINE ST;BISHOP, CA 93514-0000"
322273984,"FAMILY 1 FEDERAL CREDIT UNION;1454 NORTH KRAEMER BLVD;PLACENTIA, CA 92870-0000"
322273997,"ORANGE COUNTY'S CREDIT UNION;PO BOX 11777;SANTA ANA, CA 92711-9913"
322274048,"CALIFORNIA AGRIBUSINESS CREDIT UNION;6600 ORANGETHORPE;BUENA PARK, CA 90620-1396"
322274116,"BURBANK CITY EMPLOYEES FCU;PO BOX 31;BURBANK, CA 91503-0000"
322274132,"UME FEDERAL CREDIT UNION;3000 W MAGNOLIA BLVD;BURBANK, CA 91505-0000"
322274158,"FIRST ENTERTAINMENT CREDIT UNION;6735 FOREST LAWN DRIVE STE 200;HOLLYWOOD, CA 90068-1028"
322274187,"LOCKHEED FCU;2340 HOLLYWOOD WAY;BURBANK, CA 91505-0000"
322274190,"NBC EMPLOYEES FCU;3000 W ALAMEDA AVE B-1550;BURBANK, CA 91523-0001"
322274239,"PRIORITY ONE CREDIT UNION;1631 HUNTINGTON DRIVE;SOUTH PASADENA, CA 91030-0000"
322274242,"PARTNERS FEDERAL CREDIT UNION;13705 INTERNATIONAL DRIVE SOUTH;ORLANDO, FL 32921-0000"
322274420,"VERITAS FEDERAL CREDIT UNION;1 NISSAN WAY;FRANKLIN, TN 37067-0000"
322274462,"ALTAONE FEDERAL CREDIT UNION;PO BOX 1209;RIDGECREST, CA 93556-0000"
322274488,"CABRILLO CREDIT UNION;10075 CARROLL CANYON RD #200;SAN DIEGO, CA 92131-1107"
322274527,"PACIFIC TRUST BANK;P.O.BOX 5227;CHULA VISTA, CA 91912-0000"
322274572,"COLTON FEDERAL CREDIT UNION;466 N LA CADENA DR;COLTON, CA 92324-0000"
322274653,"MID-CITIES SCHOOLS CREDIT UNION;325 S SANTA FE AVE;COMPTON, CA 90221-0000"
322274734,"CRC FEDERAL CREDIT UNION;632 SIXTH STREET SUITE E;NORCO, CA 92860-1500"
322274789,"NUVISION FINANCIAL FCU;PO BOX 1220;HUNTINGTON BEACH, CA 92647-0000"
322274792,"FAIRVIEW EMPLOYEES FCU;2501 HARBOR BOULEVARD;COSTA MESA, CA 92626-6143"
322274831,"CHRISTIAN COMMUNITY CREDIT UNION;PO BOX 3012;COVINA, CA 91723-0000"
322274925,"PACIFIC MARINE CREDIT UNION;PO BOX 555235;CAMP PENDLETON, CA 92055-0000"
322274941,"CULVER CITY EMPLOYEES FCU;9770 CULVER BLVD;CULVER CITY, CA 90232-0507"
322275089,"TRUGROCER FEDERAL CREDIT UNION;PO BOX 8145;BOISE, ID 83707-0000"
322275092,"CITY OF DOWNEY FEDERAL CREDIT UNION;10411 LAKEWOOD BLVD;DOWNEY, CA 90241-0000"
322275115,"DOWNEY FCU;8237 THIRD STREET;DOWNEY, CA 90241-0000"
322275128,"GOODYEAR FCU;10829 DOWNEY AVE;DOWNEY, CA 90241-0000"
322275144,"RANCHO FCU;12620 ERICKSON AVE STE H;DOWNEY, CA 90242-0000"
322275157,"FINANCIAL PARTNERS CREDIT UNION;PO BOX 7005;DOWNEY, CA 90241-7005"
322275199,"LOCKHEED FEDERAL CREDIT UNION;2340 HOLLYWOOD WAY;BURBANK, CA 91505-0000"
322275212,"EL CAJON FEDERAL CREDIT UNION;266 S MAGNOLIA AVE #101;EL CAJON, CA 92020-5218"
322275241,"INLAND FEDERAL CREDIT UNION;570 BROADWAY;EL CAJON, CA 92021-0000"
322275254,"KETEMA FEDERAL CREDIT UNION;792 GREENFIELD DRIVE;EL CAJON, CA 92021-0000"
322275296,"SUN COMMUNITY FEDERAL CREDIT UNION;PO BOX 4210;EL CENTRO, CA 92244-4210"
322275348,"EL MONTE COMMUNITY CREDIT UNION;11718 RAMONA BLVD;EL MONTE, CA 91732-2391"
322275429,"VONS EMPLOYEES FEDERAL CREDIT UNION;4455 ARDEN DR;EL MONTE, CA 91731-0000"
322275432,"CSC EMPLOYEES FEDERAL CREDIT UNION;SUITE R70;FALLS CHURCH, VA 22042-0000"
322275445,"CHEVRON FEDERAL CREDIT UNION;475 14TH STREET 9TH FLOOR;OAKLAND, CA 94612-0000"
322275461,"WESTERN FEDERAL CREDIT UNION;14500 AVIATION BOULEVARD;HAWTHORNE, CA 90250-0000"
322275487,"FINANCIAL PARTNERS CREDIT UNION;PO BOX 7005;DOWNEY, CA 90241-7005"
322275490,"XCEED FINANCIAL CREDIT UNION;888 NORTH NASH STREET;EL SEGUNDO, CA 90245-0000"
322275526,"ESCONDIDO FEDERAL CREDIT UNION;2261 EAST VALLEY PARKWAY;ESCONDIDO, CA 92027-0000"
322275555,"FONTANA FEDERAL CREDIT UNION;17235 ARROW BLVD;FONTANA, CA 92335-3949"
322275568,"INLAND VALLEY FEDERAL CREDIT UNION;9389 CHERRY AVENUE;FONTANA, CA 92335-0547"
322275607,"AMERICAN FIRST CREDIT UNION;700 N HARBOR BLVD;LA HABRA, CA 90631-0000"
322275610,"PACIFIC COMMUNITY CREDIT UNION;401 EAST IMPERIAL HIGHWAY;FULLERTON, CA 92834-0000"
322275636,"NORTH ORANGE COUNTY CREDIT UNION;PO BOX 4179;FULLERTON, CA 92834-0000"
322275649,"SCHOOLSFIRST FEDERAL CREDIT UNION;15442 DEL AMO AVE;TUSTIN, CA 92780-0000"
322275678,"GOLDEN WEST CITIES FCU;11390 STANFORD AVE;GARDEN GROVE, CA 92840-0000"
322275746,"HONDA FEDERAL CREDIT UNION;PO BOX 2290;TORRANCE, CA 90502-0000"
322275788,"KINECTA FEDERAL CREDIT UNION;2100 PARK PLACE;EL SEGUNDO, CA 90245-0000"
322275791,"NIKKEI CREDIT UNION;18425 SOUTH WESTERN AVENUE;GARDENA, CA 90248-0000"
322275856,"MEDIA CITY COMMUNITY CREDIT UNION;1020 W OLIVE;BURBANK, CA 91506-0000"
322275869,"AIRCO FEDERAL CREDIT UNION;6265 SAN FERNANDO RD;GLENDALE, CA 91201-2214"
322275885,"GLENDALE FEDERAL CREDIT UNION;500 E WILSON AVENUE;GLENDALE, CA 91206-0000"
322275908,"CALIFORNIA ADVENTIST FCU;1441 EAST CHEVY CHASE DRIVE;GLENDALE, CA 91206-0000"
322275924,"CALCOM FEDERAL CREDIT UNION;20723 HAWTHORNE BLVD;TORRANCE, CA 90503-0000"
322275995,"WESCOM CREDIT UNION;5601 EAST LA PALMA AVENUE;ANAHEIM, CA 92807-0000"
322276059,"WESTERN FEDERAL CREDIT UNION;14500 AVIATION BOULEVARD;HAWTHORNE, CA 90250-0000"
322276062,"KINECTA FEDERAL CREDIT UNION;1440 ROSECRANS AVE;MANHATTAN BEACH, CA 90266-0000"
